2015-12-23 21:32:01,489 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.movie:movie:0.0.1-SNAPSHOT @ /Users/chengtinghua/gitworkspace/something/movie/pom.xml.
2015-12-23 21:32:01,797 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /movie/src/main/java
2015-12-23 21:32:01,799 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /movie/src/main/resources
2015-12-23 21:32:01,800 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /movie/src/test/java
2015-12-23 21:32:03,330 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.movie:movie:0.0.1-SNAPSHOT @ /Users/chengtinghua/gitworkspace/something/movie/pom.xml.
2015-12-23 21:32:03,400 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2015-12-23 21:32:04,136 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.movie:movie:0.0.1-SNAPSHOT @ /Users/chengtinghua/gitworkspace/something/movie/pom.xml.
2015-12-23 21:32:04,195 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:32:04,201 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-23 21:32:04,213 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:32:04,213 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengtinghua/gitworkspace/something/movie/src/test/resources
2015-12-23 21:32:22,046 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.movie:movie:0.0.1-SNAPSHOT @ /Users/chengtinghua/gitworkspace/something/movie/pom.xml.
2015-12-23 21:32:22,072 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:32:22,080 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-23 21:32:22,082 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:32:22,083 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengtinghua/gitworkspace/something/movie/src/test/resources
2015-12-23 21:35:45,242 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:35:45,243 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-23 21:35:45,244 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:35:45,245 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengtinghua/gitworkspace/something/movie/src/test/resources
2015-12-23 21:37:15,336 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:37:15,339 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-23 21:37:15,340 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:37:15,340 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengtinghua/gitworkspace/something/movie/src/test/resources
2015-12-23 21:37:22,295 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-23 21:37:22,296 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-23 21:37:22,297 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
